sample_id,title,disease_status,tissue,platform
GSM1375986,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375987,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375988,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375989,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375990,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375991,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375992,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375993,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375994,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375995,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375996,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375997,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375998,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1375999,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759100,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759101,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759102,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759103,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759104,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759105,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759106,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759107,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759108,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759109,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759110,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759111,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759112,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759113,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759114,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759115,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759116,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759117,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759118,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759119,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759120,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759121,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759122,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759123,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759124,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759125,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759126,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759127,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759128,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759129,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759130,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759131,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759132,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759133,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759134,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759135,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759136,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759137,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759138,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759139,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759140,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759141,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759142,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759143,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759144,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759145,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759146,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759147,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759148,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759149,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759150,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759151,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759152,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759153,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759154,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759155,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759156,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759157,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759158,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759159,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759160,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759161,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759162,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759163,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759164,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759165,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759166,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759167,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759168,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759169,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759170,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759171,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759172,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759173,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759174,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759175,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759176,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759177,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759178,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759179,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759180,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759181,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759182,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM13759183,COPD lung tissue RNA-Seq,COPD,lung,GPL11154
GSM1376150,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376151,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376152,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376153,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376154,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376155,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376156,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376157,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376158,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376159,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376160,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376161,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376162,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376163,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376164,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376165,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376166,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376167,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376168,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376169,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376170,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376171,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376172,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376173,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376174,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376175,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376176,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376177,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376178,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376179,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376180,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376181,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376182,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376183,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376184,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376185,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376186,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376187,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376188,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376189,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376190,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376191,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376192,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376193,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376194,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376195,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376196,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376197,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376198,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM1376199,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761100,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761101,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761102,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761103,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761104,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761105,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
